XR_001463302.1	LOC107051626
NM_001079486.1	FGL2
XM_015275768.2	FAM185A
XM_015275766.2	FBXL13
XM_415966.5	FBXL13
XM_015275703.2	LRRC17
NM_001198600.1	LRRC17
XM_415964.6	ARMC10
XM_004934739.3	ARMC10
XM_015275728.2	NAPEPLD
XM_015275729.2	NAPEPLD
NM_001030730.1	NAPEPLD
XM_015275727.2	PMPCB
NM_001199472.1	PMPCB
XM_015275726.2	DNAJC2
XM_025147353.1	DNAJC2
NM_001199325.1	DNAJC2
NM_001006225.1	PSMC2
NM_001079477.1	SLC26A5
XR_003076689.1	LOC112533002
XM_004934740.3	RELN
XM_025151097.1	RELN
NM_001305123.1	RELN
XM_025147350.1	ORC5
XM_025147341.1	ORC5
XM_025147345.1	ORC5
NM_001030729.1	ORC5
XM_025147339.1	ORC5
XM_025147338.1	ORC5
XM_015275725.2	ORC5
XM_015275724.2	ORC5
XM_015275723.2	ORC5
XM_015275771.2	LHFPL3
XM_015275770.2	LHFPL3
XM_015275769.2	LHFPL3
XR_001463304.2	LOC107051628
XM_025153576.1	KMT2E
XM_025153560.1	KMT2E
XM_025153585.1	KMT2E
XM_025153566.1	KMT2E
XM_025153592.1	KMT2E
XM_025153610.1	SRPK2
XM_025153608.1	SRPK2
XM_025153611.1	SRPK2
XM_015275773.1	SRPK2
XM_015275772.1	SRPK2
XR_001463303.2	LOC107051627
XR_003076703.1	LOC107051629
XR_003076767.1	LOC101752215
XR_003076768.1	LOC101752215
XM_015275719.2	PUS7
XM_015275717.2	PUS7
XM_015275720.2	PUS7
XM_015275721.2	PUS7
XM_015275722.2	PUS7
XM_025147314.1	PUS7
XM_015275718.2	PUS7
NM_001199539.1	PUS7
NM_001278117.1	RINT1
XM_025153708.1	EFCAB10
XM_004934753.3	EFCAB10
XM_001232474.5	EFCAB10
XM_025153692.1	EFCAB10
XR_003076769.1	LOC112533020
XM_025153676.1	ATXN7L1
XM_015275784.2	ATXN7L1
XM_015275783.2	ATXN7L1
XM_015275782.2	ATXN7L1
XM_015275781.2	ATXN7L1
XM_015275780.2	ATXN7L1
XM_015275779.2	ATXN7L1
XM_025153634.1	CDHR3
XR_003076717.1	CDHR3
XR_003076718.1	CDHR3
XM_025153625.1	CDHR3
XM_015275785.2	CDHR3
XR_003076721.1	CDHR3
XM_025153630.1	CDHR3
XR_003076722.1	CDHR3
XM_025153659.1	CDHR3
XM_025153643.1	CDHR3
XM_025153660.1	CDHR3
XM_025153668.1	CDHR3
XM_025153639.1	CDHR3
XM_025153649.1	CDHR3
XM_425420.5	CDHR3
XM_025153658.1	CDHR3
XM_025153657.1	CDHR3
XM_025153655.1	CDHR3
